
Company Name,Address,City,State,Zip,Phone,Email,Website,Description,Representatives,Date Contacted,Contact Method
Cleveland SHRM,,,,,,,,"AboutJackie ValekAdmin Director, Cleveland SHRMVoicemail: 440-462-0432, Ohio",,,
Cory Electronics,,,,,,,,"AboutCory Electronics is a  North American electronic component manufacture and distributor of interconnect, power and electromechanical products, Fluid, Motive Power and Entertainment cables and assembles  and provider of value-add solutions.Cory’s electronic components are designed to meet the needs of a broad range of industry segments. Low and High volume manufacturing processes paired with consistent quality and durability make Cory’s products ideal for a large variety of applications.Cory ",,,
CIVITAS The Ohio River Valley LGBTQ+ Chamber of Commerce,,,,,,,,,,,
Cuyahoga County Board of Developmental Disabilities,,,,,,,,"AboutAt the Cuyahoga County Board of DD, we recognize that dedicated employees are our greatest resource. Our employees play a key role in supporting and empowering people with developmental disabilities of all ages to live, learn, work and play in the community and live the lives they desire. In 1967, the diverse community leaders who founded the Cuyahoga County Board of DD crossed cultural, religious and economic boundaries to make a difference through collective action. Today, diversity and i",,,
Cleveland Public Library,,,,,,,,"AboutWe are the “People’s University,” the center of learning for a diverse and inclusive community.",,,
Cleveland Sex Therapy,,,,,,,,"AboutMy mission is simple: I want to nurture sex positivity and inclusivity amongst all my clients. We live in a world where sex negativity is rampant. If you do not prescribe to monogamy and are not heterosexual, you can feel this immense pressure to conform to ideologies you do not agree with in this world. I am here to help.Shame is a parasite. It latches onto us, drains us, reprograms us, and lives in the shadows of our souls waiting for its next moment to attack. Luckily, we all have the an",,,
COSE,,,,,,,,"AboutAs the small business division of the Greater Cleveland Partnership, COSE (Council of Smaller Enterprises) has supported and advocated for the small businesses in the region since 1972. As the region’",,,
Colors+ Counseling,,,,,,,,"AboutAs culturally competent clinicians, we provide a range of mental health services, resources, and education. Our lived experiences allow us to bring a deeper understanding and support to our clients, especially in navigating minority stress. Our team of licensed clinicians is trained to treat both adults and youth for individual counseling, family counseling and all types of relationships including monogamous, non-monogamous and poly. Established in 2019 and 100% LGBTQ+ owned and operated.",,,
CWRU AIDS Clinical Trials Unit,,,,,,,,AboutTreatment & cure agenda clinical trials for people living with HIVHIV prevention clinical trials for HIV-negative peopleCommunity outreach & education about HIV-related clinical trialsPEP/PrEP,,,
COSE,,,,,,,,"AboutAs the small business division of the Greater Cleveland Partnership, COSE (Council of Smaller Enterprises) has supported and advocated for the small businesses in the region since 1972. As the region’",,,
City Goods,,,,,,,,,,,
Cake Drama,,,,,,,,"AboutOur Cake Studio is brand new and our site is in its development phase! Please continue to check back for updates and new content.CAKE drama made its debut this Winter 2024 as Owner and Cake Artist Alexandra Ramirez relocated from Portland, Oregon. There, she had been Head Cake Artist at one of the premier bakeries for 10 years and is very excited to bring her talents and passion to Cleveland.",,,
Colors+ Counseling,,,,,,,,"AboutAs culturally competent clinicians, we provide a range of mental health services, resources, and education. Our lived experiences allow us to bring a deeper understanding and support to our clients, especially in navigating minority stress. Our team of licensed clinicians is trained to treat both adults and youth for individual counseling, family counseling and all types of relationships including monogamous, non-monogamous and poly. Established in 2019 and 100% LGBTQ+ owned and operated.",,,
CH Porter Consulting LLC,,,,,,,,AboutSmall Business consulting firm specializing in workforce development through streamlined HR functions ensuring personalized growth.,,,
Crack Corn Ltd.,,,,,,,,"AboutPuffy Pop is ultra-premium puff corn. It's kind of like popcorn, but WAY BETTER!No kernels. No hulls. So it's EASY TO EAT!Puffy Pop is known for its flavors and ultra-premium ingredients.",,,
Cook Insurance Group,,,,,,,,"AboutIndependent insurance agency serving individuals and businesses in Northeastern Ohio for over 60 years. We provide all forms of insurance for businesses, personal, home, auto, classic car, life, motorcycle",,,
"Catharsis Counseling CLE, LLC",,,,,,,,"AboutCatharsis Counseling CLE wants to help you create balance, peace, and healthier, more fulfilling relationships in your life. While this process can be challenging, filled with doubt and uncertainty, it can also be an opportunity for growth. You can change the way you handle life's challenges and improve the relationships that matter most to you. We are here to help! We enjoy challenging current ways of thinking to move you forward, towards your goals. Let us support you in taking those firs",,,
College Now Greater Cleveland,,,,,,,,"AboutCollege Now's mission is to increase postsecondary educational attainment through college and career access advising, financial aid support, and scholarship and retention services.",,,
Cleveland State University - LGBTQ+ Student Services,,,,,,lgbtq@csuohio.edu,,"AboutLGBTQ+ Student Services is committed to enhancing the overall educational and social experience of the CSU community. We provide resources, support, and programming that promotes the academic and personal growth and development of lesbian, gay, bisexual, transgender, and queer or questioning (+) students and their allies, and work to create a more inclusive and welcoming campus for all.",,,
Cory Electronics,,,,,,,,"AboutCory Electronics is a  North American electronic component manufacture and distributor of interconnect, power and electromechanical products, Fluid, Motive Power and Entertainment cables and assembles  and provider of value-add solutions.Cory’s electronic components are designed to meet the needs of a broad range of industry segments. Low and High volume manufacturing processes paired with consistent quality and durability make Cory’s products ideal for a large variety of applications.Cory ",,,
Cilantro Taqueria,,,,,,,,AboutThe best taqueria in NE Ohio! Catering available!,,,
"County of Summit Alcohol, Drug Addiction and Mental Health Services Board",,,,,,,,"AboutThe County of Summit ADM Board ensures no one walks the recovery journey alone. With our partners, we provide person-centered prevention, treatment, and recovery services for all in need.",,,
Crowbar,,,,,,,,"AboutWelcome to Vacationland's only full service video bar located in downtown Sandusky, OH.  We offer indoor and patio seating, pool table, daily specials, & dancing for your enjoyment.",,,
DANCECleveland,,,,,,,,"AboutDANCECleveland brings the world's best modern and contemporary performers to stages across Northeast Ohio and strives to inspire and educate audiences, local dancers, and community members.",,,
Diebold Nixdorf,,,,,,,,"AboutConsumer behavior is changing rapidly; people are empowered, connected and expect an unprecedented level of service and convenience. Simultaneously, the financial and retail industries we operate in are converging as mobile, contactless tech, smart data and advanced analytics blur the lines. The world is “always on” – it’s a digital era that requires us to orchestrate touchpoints in ways that meet and exceed the 24/7 automation needs of the banking and retail worlds.We’re the world leader i",,,
Destination Cleveland,,,,,,,,"AboutDestination Cleveland has one of the best jobs in the city: we get to spend all day helping more people discover the real Cleveland. Destination Cleveland is a private non-profit convention and visitors bureau whose mission is to drive economic impact and stimulate community vitality for Cleveland through memorable leisure, convention and business travel experiences.So, how do you define a visitor?Good question – we get pretty specific about how to define a visitor because we hold ourselves",,,
Dorian Gray Galleries,,,,,,,,"AboutDorian Gray Galleries is a nonprofit organization that was developed to help bring awareness, funding, and resources to homeless LGBTQ+ youth in Northeast Ohio. Dorian Gray Galleries is an online art gallery that sells/auctions house-donated pieces through our website. 100% of donations will go directly to those affected or those at risk in the LGBTQ+ community.",,,
Dixon Officiant Services,,,,,,,,"AboutMichelle is an ordained minister and provides officiant services for weddings throughout the state of Ohio. Officiant bookings include date of wedding and a pre-meeting with couple to choose a ceremony script & review details. Most packages cost $300 and contact us for details. Black, woman, and LGBTQ+ owned business. Michelle is committed to bringing services to all regardless of background or whom you love.",,,
Denise Astorino - Realtor - Howard Hanna,,,,,,,,,,,
Dale Dong Photography,,,,,,,,,,,
Declutter with Devon LLC,,,,,,,,"AboutDeclutter with Devon LLC is excited to join Plexus as an Allied small business.  With a background in social work, Devon believes in the inherent dignity and worth of every individual and that everyone should be fully embraced as they live their lives authentically.Devon is passionate about helping folks declutter, simplify and organize their belongings to find ease at home.  Devon is known for her caring and nonjudgmental hands-on support.  Specialties include working with busy adults look",,,
Denise Astorino - Realtor - Howard Hanna,,,,,,,,,,,
DoubleTree by Hilton - Tudor Arms Hotel Cleveland,,,,,,,,"AboutOld world style meets modern day flair at The DoubleTree Tudor Arms Hotel! Featuring 157 guest rooms & Suites, on site Bar & Grill, Room Service, Hotel Shuttle, Full Fitness Center, Business Center and Free standard WIFI. Whether your guest list is an intimate gathering of 10 or a grand celebration of 300, one of our eight elegant historic event spaces will set the perfect atmosphere no matter what the event. The property is listed on the National Historic Registry after re-opening in 2011 ",,,
Dobama Theatre,,,,,,,,"AboutCleveland's Off-Broadway Theatre, Dobama Theatre is dedicated to premiering important new plays by established and emerging playwrights in professional productions of the highest quality.",,,
"Dezfox, LLC",,,,,,,,"AboutWith more than 15 years of experience in design and web technologies, I excel as a versatile creative designer and developer of websites and digital infrastructures. My specialty lies in crafting compelling, streamlined workflows that cater to clients of all industries, ensuring engagement and efficiency throughout. I integrate multiple technologies and workflows to construct sustainable systems that enhance both client outcomes and team efficiencies.",,,
DJM Consulting,,,,,,,,"AboutProviding small businesses, nonprofits, and politicians with branding, public relations, and design services. Together, we can develop your organizations story and tell it the way it was meant to be shared!",,,
Declutter with Devon LLC,,,,,,,,"AboutDeclutter with Devon LLC is excited to join Plexus as an Allied small business.  With a background in social work, Devon believes in the inherent dignity and worth of every individual and that everyone should be fully embraced as they live their lives authentically.Devon is passionate about helping folks declutter, simplify and organize their belongings to find ease at home.  Devon is known for her caring and nonjudgmental hands-on support.  Specialties include working with busy adults look",,,
Douglass & Associates Co LPA,,,,,,,,"AboutDOUGLASS & ASSOCIATES CO., L.P.A. was formed in 1983 as a sole proprietorship by David M. Douglass, and was incorporated in 1996. The firm concentrates its services to small businesses, design professionals and individuals needing personal injury counsel, estate planning or probate administration representation. It also provides creditors rights and commercial civil litigation services to individual, corporate and governmental creditors. We take pride in our reputation for representing all ",,,
DJ Nick Duve,,,,,,,,"AboutOver the past 22 years, I have been able to do something I love: Host and DJ milestone events all over the country. I am honored to help create memorable, interactive experiences for weddings, corporate functions, non-profit organizations, community celebrations, and everything in between.Although I can trace my path as a DJ to 8th grade when my dad helped me connect two cd players together for my graduation party, my professional career started at 17-years-old as a wedding DJ in Akron, Ohi",,,
Dorian Gray Galleries,,,,,,,,"AboutDorian Gray Galleries is a nonprofit organization that was developed to help bring awareness, funding, and resources to homeless LGBTQ+ youth in Northeast Ohio. Dorian Gray Galleries is an online art gallery that sells/auctions house-donated pieces through our website. 100% of donations will go directly to those affected or those at risk in the LGBTQ+ community.",,,
DoubleTree by Hilton - Tudor Arms Hotel Cleveland,,,,,,,,"AboutOld world style meets modern day flair at The DoubleTree Tudor Arms Hotel! Featuring 157 guest rooms & Suites, on site Bar & Grill, Room Service, Hotel Shuttle, Full Fitness Center, Business Center and Free standard WIFI. Whether your guest list is an intimate gathering of 10 or a grand celebration of 300, one of our eight elegant historic event spaces will set the perfect atmosphere no matter what the event. The property is listed on the National Historic Registry after re-opening in 2011 ",,,
Douglass & Associates Co LPA,,,,,,,,"AboutDOUGLASS & ASSOCIATES CO., L.P.A. was formed in 1983 as a sole proprietorship by David M. Douglass, and was incorporated in 1996. The firm concentrates its services to small businesses, design professionals and individuals needing personal injury counsel, estate planning or probate administration representation. It also provides creditors rights and commercial civil litigation services to individual, corporate and governmental creditors. We take pride in our reputation for representing all ",,,
DANCECleveland,,,,,,,,"AboutDANCECleveland brings the world's best modern and contemporary performers to stages across Northeast Ohio and strives to inspire and educate audiences, local dancers, and community members.",,,
Diebold Nixdorf,,,,,,,,"AboutConsumer behavior is changing rapidly; people are empowered, connected and expect an unprecedented level of service and convenience. Simultaneously, the financial and retail industries we operate in are converging as mobile, contactless tech, smart data and advanced analytics blur the lines. The world is “always on” – it’s a digital era that requires us to orchestrate touchpoints in ways that meet and exceed the 24/7 automation needs of the banking and retail worlds.We’re the world leader i",,,
Deaconess Foundation,,,,,,,,"AboutDeaconess Foundation provides grants to non-profits which provide workforce development services, enabling a person to earn more money and eventually, a family-sustaining wage.",,,
Destination Cleveland,,,,,,,,"AboutDestination Cleveland has one of the best jobs in the city: we get to spend all day helping more people discover the real Cleveland. Destination Cleveland is a private non-profit convention and visitors bureau whose mission is to drive economic impact and stimulate community vitality for Cleveland through memorable leisure, convention and business travel experiences.So, how do you define a visitor?Good question – we get pretty specific about how to define a visitor because we hold ourselves",,,
Dobama Theatre,,,,,,,,"AboutCleveland's Off-Broadway Theatre, Dobama Theatre is dedicated to premiering important new plays by established and emerging playwrights in professional productions of the highest quality.",,,
Daniel McGuire,,,,,,,,,,,
"DMS, Diversity Management Solutions",,,,,,,,"AboutAt Diversity Management Solutions (DMS), our core values drive every aspect of our work. We embody inclusivity, respect, and excellence to achieve optimal results, increase belonging, and outcomes.",,,
Dale Dong Photography,,,,,,,,,,,
Dovetail Leadership,,,,,,,,"AboutI believe “the personal is political” and the way to affect change starts within. Building on the axiom ''walk a mile in another's shoes,” the framework by which we build inter- and intrapersonal change, I work to explore my own ''shoes'' of privilege, power, and oppression, and help others to do the same.From my experience in the nonprofit programming and development world, I have utilized a platform of relationship building and advanced the missions of multiple nonprofits, such as educati",,,
Deaconess Foundation,,,,,,,,"AboutDeaconess Foundation provides grants to non-profits which provide workforce development services, enabling a person to earn more money and eventually, a family-sustaining wage.",,,
"DMS, Diversity Management Solutions",,,,,,,,"AboutAt Diversity Management Solutions (DMS), our core values drive every aspect of our work. We embody inclusivity, respect, and excellence to achieve optimal results, increase belonging, and outcomes.",,,
DJM Consulting,,,,,,,,"AboutProviding small businesses, nonprofits, and politicians with branding, public relations, and design services. Together, we can develop your organizations story and tell it the way it was meant to be shared!",,,
Equitas Health,,,,,,info@equitashealth.com,,"AboutEquitas Health is a nonprofit community healthcare system founded in 1984. We are one of the nation’s largest LGBTQ+ and HIV/AIDS-serving organizations, serving tens of thousands of patients in Ohio,",,,
Equitas Health,,,,,,info@equitashealth.com,,"AboutEquitas Health is a nonprofit community healthcare system founded in 1984. We are one of the nation’s largest LGBTQ+ and HIV/AIDS-serving organizations, serving tens of thousands of patients in Ohio,",,,
Economic Community Development Institute (ECDI),,,,,,,,,,,
Energetic Awakenings,36200 West Shore Blvd,North Ridgeville,OH,44129,216-544-9472,david@energeticawakenings.com,energeticawakenings.com,"AboutENERGETIC AWAKENINGS is a coaching and consulting firm that focuses on individual personal transformation using Core Energetics and organizational development for businesses and non-profits.CORE ENERGETICSCore Energetics is an evolutionary transformation process that seeks the integration of all levels of the human personality and awareness. Core aspects of your being; mind, body, emotions,spirit, and your will. It is a supportive process that enables you to explore your past and present is",,2025-11-29,Email
evrecruit.io,,,,,,,,"AboutOur mission is to empower everyone in their quest for career happiness, bridging the gap between the opportunity and the human, and fostering connections that lead to lasting success for all.Our commitment is to provide an environment where everyone - candidates and clients alike - feels understood and supported.With a deep understanding of the unique qualities that make a company, team, and candidate special, we embark on a mission to make the job or candidate search not just efficient, bu",,,
Edward Jones - Gina Betti,,,,,,,,"AboutI am immensely proud of my firm's commitment to the LBGTQ community. As your financial advisor, I will be an advocate and a resource to help you navigate complex financial challenges. Thank you, Gina.",,,
Equality Ohio,,,,,,,,"AboutEquality Ohio is a nonprofit that identifies and transforms systems and institutions so LGBTQ+ Ohioans can fully access legal and lived equality. The organization leads LGBTQ+ related advocacy at the Ohio statehouse and supports localities and communities through its field organizing program. Recognizing the unique challenges that LGBTQ+ Ohioans face in the legal system, Equality Ohio has established a Legal Clinic to assist low income LGBTQ+ Ohioans in several areas of civil law.",,,
Everybody Cycle,,,,,,,,"AboutBeyond a good sweat, indoor cycling fosters strength, joy, clarity, and connection. Helping you unlock these experiences is the reason we created Everybody Cycle. This spinning studio on the border of Lakewood, OH and Cleveland, OH is a safe space to grow your spinning practice and live your truth. Every identity, every ability, and everyBODY is welcome. Come as you are and let's celebrate the moment together. Riders start your engines and let the party begin!",,,
Every Angle Photography,,,,,,,,"AboutEvery Angle is a comprehensive, full-service photography studio that collaborates with individuals, small businesses, large corporations, entrepreneurs and non-profit organizations alike.Our team is available to bring our mobile studio to your office for the convenience of corporate headshots. We have studio locations available in Cleveland and Youngstown or we will source that unique space that you want as your backdrop.We have assisted in bringing images to life for many clients; from com",,,
Emma Parker Photography,,,,,,,,"AboutEmma Parker is an established Limited Liability Company since 2013. She has worked closely with several nonprofits in Columbus such as Bravo and Stonewall Columbus. Emma has also been the lead photographer of Pride Columbus since 2014. Her mission is to continually capture the essence of the community through her photography. Emma has worked with healthcare facilities in Columbus such as Columbus Public Health, The Zangmeister Center: Ohio Cancer Center, Worthington Periodontal Specialists,",,,
ERIEBANK,,,,,,,,,,,
Everybody Cycle,,,,,,,,"AboutBeyond a good sweat, indoor cycling fosters strength, joy, clarity, and connection. Helping you unlock these experiences is the reason we created Everybody Cycle. This spinning studio on the border of Lakewood, OH and Cleveland, OH is a safe space to grow your spinning practice and live your truth. Every identity, every ability, and everyBODY is welcome. Come as you are and let's celebrate the moment together. Riders start your engines and let the party begin!",,,
Equius Group LLC,,,,,,,,"AboutEquius Group, LLC is an organizational development firm whose work is to support organizations, communities, teams, and individuals in becoming healthy, connected, and whole.",,,
Equius Group LLC,,,,,,,,"AboutEquius Group, LLC is an organizational development firm whose work is to support organizations, communities, teams, and individuals in becoming healthy, connected, and whole.",,,
En@ble Growth LLC,,,,,,,,"AboutGrowth!  It creates excitement and fuels opportunity.  It also stretches us beyond our comfort zone as it leads us to new results and possibilities.   And without proper focus and execution, growth can be elusive, frustrating and varied.In my 35 years working in Fortune 500 companies, I've been fortunate to participate in some amazing growth stories.  I've also seen leaders and organizations try to wish growth into existence without any specific plans, or worse, they unintentionally get in ",,,
EDEN:Emerald Development & Economic Network,,,,,,,,"AboutMission:EDEN’s mission is to provide housing solutions to people facing the challenges of housing insecurities and homelessness.Vision:EDEN recognizes that housing is a basic right of all people, and the first step in helping those vulnerable and disadvantaged transform their lives. We envision, that through our efforts, homelessness will be brief and rare; and every family will have a safe, secure place to call home. We believe housing serves as a foundation to build stable lives, advance ",,,
Engage! Cleveland,,,,,,,,"AboutEngage! Cleveland is a community engagement organization focused on young professionals, emerging talent and business/community leaders who are passionate about making Cleveland a top destination for the next generation.What began as an idea in 2010, has since grown to become a thriving 501c3 that has captured the attention of young professionals and businesses throughout Cleveland.Engage! Cleveland offers something for everyone year-round— from social events and networking to leadership de",,,
Every Angle Photography,,,,,,,,"AboutEvery Angle is a comprehensive, full-service photography studio that collaborates with individuals, small businesses, large corporations, entrepreneurs and non-profit organizations alike.Our team is available to bring our mobile studio to your office for the convenience of corporate headshots. We have studio locations available in Cleveland and Youngstown or we will source that unique space that you want as your backdrop.We have assisted in bringing images to life for many clients; from com",,,
Economic Community Development Institute (ECDI),,,,,,,,,,,
EDEN:Emerald Development & Economic Network,,,,,,,,"AboutMission:EDEN’s mission is to provide housing solutions to people facing the challenges of housing insecurities and homelessness.Vision:EDEN recognizes that housing is a basic right of all people, and the first step in helping those vulnerable and disadvantaged transform their lives. We envision, that through our efforts, homelessness will be brief and rare; and every family will have a safe, secure place to call home. We believe housing serves as a foundation to build stable lives, advance ",,,
Emma Parker Photography,,,,,,,,"AboutEmma Parker is an established Limited Liability Company since 2013. She has worked closely with several nonprofits in Columbus such as Bravo and Stonewall Columbus. Emma has also been the lead photographer of Pride Columbus since 2014. Her mission is to continually capture the essence of the community through her photography. Emma has worked with healthcare facilities in Columbus such as Columbus Public Health, The Zangmeister Center: Ohio Cancer Center, Worthington Periodontal Specialists,",,,
Equality Ohio,,,,,,,,"AboutEquality Ohio is a nonprofit that identifies and transforms systems and institutions so LGBTQ+ Ohioans can fully access legal and lived equality. The organization leads LGBTQ+ related advocacy at the Ohio statehouse and supports localities and communities through its field organizing program. Recognizing the unique challenges that LGBTQ+ Ohioans face in the legal system, Equality Ohio has established a Legal Clinic to assist low income LGBTQ+ Ohioans in several areas of civil law.",,,
evrecruit.io,,,,,,,,"AboutOur mission is to empower everyone in their quest for career happiness, bridging the gap between the opportunity and the human, and fostering connections that lead to lasting success for all.Our commitment is to provide an environment where everyone - candidates and clients alike - feels understood and supported.With a deep understanding of the unique qualities that make a company, team, and candidate special, we embark on a mission to make the job or candidate search not just efficient, bu",,,
Edward Jones - Gina Betti,,,,,,,,"AboutI am immensely proud of my firm's commitment to the LBGTQ community. As your financial advisor, I will be an advocate and a resource to help you navigate complex financial challenges. Thank you, Gina.",,,
Engage! Cleveland,,,,,,,,"AboutEngage! Cleveland is a community engagement organization focused on young professionals, emerging talent and business/community leaders who are passionate about making Cleveland a top destination for the next generation.What began as an idea in 2010, has since grown to become a thriving 501c3 that has captured the attention of young professionals and businesses throughout Cleveland.Engage! Cleveland offers something for everyone year-round— from social events and networking to leadership de",,,
EJS Design,,,,,,,,,,,
ERIEBANK,,,,,,,,,,,
Fairway Independent Mortgage Corp.,,,,,,,,,,,
Fairway Independent Mortgage Corp.,,,,,,,,,,,
FirstEnergy,,,,,,,,"AboutFirstEnergy’s 10 regulated distribution companies form one of the nation’s largest investor-owned electric systems, based on serving 6 million customers in the Midwest and Mid-Atlantic regions.",,,
Fostering Hope,,,,,,,,AboutConnecting and enriching youth who live in residential treatment and foster care with unique experiences of hope and healing.,,,
Full Color Printings,,,,,,,,"AboutFull Color Printings LLC is a full service printing company proudly headquartered in Cleveland, Ohio. We are a certified LGBT Business Enterprise with well established relationships in Greater Cleveland and across the country. With our personal attention to detail and complimentary proofreading of documents, we strive to provide personal service to our clients while efficiently delivering the highest quality products and services at low-cost competitive pricing. At Full Color Printings, our",,,
Fairmount Insurance Services,,,,,,,,AboutProperty and liability insurance placement services. We can be very helpful in the placement of insurance coverage for unique and special risks.,,,
Fostering Hope,,,,,,,,AboutConnecting and enriching youth who live in residential treatment and foster care with unique experiences of hope and healing.,,,
First Federal Savings of Lorain,,,,,,,,"AboutWe specialize in helping potential buyers achieve their goals of homeownership.  We offer competitive rates and the most current resources, to make your dream of owning a home a reality.",,,
Facing History and Ourselves,,,,,,,,"AboutAt Facing History and Ourselves, we believe the bigotry and hate that we witness today are the legacy of brutal injustices of the past. Facing our collective history and how it informs our attitudes and behaviors allows us to choose a world of equity and justice. Facing History’s resources address racism, antisemitism, and prejudice at pivotal moments in history; we help students connect choices made in the past to those they will confront in their own lives. Through our partnership with ed",,,
Food for Thought Catering,,,,,,,,"AboutFood for Thought is one of Northeast Ohio’s largest full-service catering companies, providing innovative cuisine for more than 30 years. Catering intimate gatherings to large corporate events.",,,
First Federal Savings of Lorain,,,,,,,,"AboutWe specialize in helping potential buyers achieve their goals of homeownership.  We offer competitive rates and the most current resources, to make your dream of owning a home a reality.",,,
Food for Thought Catering,,,,,,,,"AboutFood for Thought is one of Northeast Ohio’s largest full-service catering companies, providing innovative cuisine for more than 30 years. Catering intimate gatherings to large corporate events.",,,
FIT Technologies,,,,,,,,"AboutAs one of the fastest-growing Managed Service Providers and IT companies in Ohio, we approach our partnerships with clients holistically. We lay the groundwork for growth and opportunities for our clients and employees.FIT believes in a family-friendly work environment that allows our team to bring their best self to connect with our clients. FIT becomes an extension of your team and is your advocate for success. We love giving back to our clients to support their mission.FIT leverages tech",,,
Full Color Printings,,,,,,,,"AboutFull Color Printings LLC is a full service printing company proudly headquartered in Cleveland, Ohio. We are a certified LGBT Business Enterprise with well established relationships in Greater Cleveland and across the country. With our personal attention to detail and complimentary proofreading of documents, we strive to provide personal service to our clients while efficiently delivering the highest quality products and services at low-cost competitive pricing. At Full Color Printings, our",,,
Fairmount Insurance Services,,,,,,,,AboutProperty and liability insurance placement services. We can be very helpful in the placement of insurance coverage for unique and special risks.,,,
FIT Technologies,,,,,,,,"AboutAs one of the fastest-growing Managed Service Providers and IT companies in Ohio, we approach our partnerships with clients holistically. We lay the groundwork for growth and opportunities for our clients and employees.FIT believes in a family-friendly work environment that allows our team to bring their best self to connect with our clients. FIT becomes an extension of your team and is your advocate for success. We love giving back to our clients to support their mission.FIT leverages tech",,,
FirstEnergy,,,,,,,,"AboutFirstEnergy’s 10 regulated distribution companies form one of the nation’s largest investor-owned electric systems, based on serving 6 million customers in the Midwest and Mid-Atlantic regions.",,,
Facing History and Ourselves,,,,,,,,"AboutAt Facing History and Ourselves, we believe the bigotry and hate that we witness today are the legacy of brutal injustices of the past. Facing our collective history and how it informs our attitudes and behaviors allows us to choose a world of equity and justice. Facing History’s resources address racism, antisemitism, and prejudice at pivotal moments in history; we help students connect choices made in the past to those they will confront in their own lives. Through our partnership with ed",,,
Greater Cleveland Regional Transit Authority,,,,,,,,"AboutThe Greater Cleveland Regional Transit Authority (RTA) provides transportation services for 150,000-200,000 customers on a typical weekday, or about 45 million rides annually, through a variety of services. In 2016, RTA provided 18.1 million vehicle-miles of service on all modes -- HealthLine, bus, Paratransit, light rail, heavy rail, and vanpools.",,,
Geauga SOGI Support Network,,,,,,,,"About501(C)(3)  Mission: Engaging with individuals, families, friends and Geauga Community, we embrace Sexual Orientation and Gender Identity through collaboration, education, and advocacy.",,,
Giardina Capital Management,16300 Delaware Ave,Lakewood,OH,44107,216-712-6749,miriam@giardinacapitalmanagement.com,giardinacapitalmanagement.com,AboutGiardina Capital Management in alliance with Equitable Advisors,,2025-11-29,Email
Greater Cleveland Partnership,,,,,,careers@greatercle.com,,"AboutSupporting our businesses and community through initiatives that support a great region to work, live and play.",,,
GAB INC.,,,,,,,,"AboutAt GAB, we specialize in bridging the gap between brands and audiences across Asia and the Americas.",,,
Gina Nicola Enterprises,,,,,,,,"AboutGina Nicola EnterprisesUnlocksGuidesActivatesTransformsWhether it’s unlocking potential, improving performance, or fostering growth, we propel people and teams to reach exponential growth and achievement through customized optimal performance engagements.",,,
GAB INC.,,,,,,,,"AboutAt GAB, we specialize in bridging the gap between brands and audiences across Asia and the Americas.",,,
Greene River Consulting,,,,,,,,"AboutProviding strategy around funding and finances for nonprofits including grant strategy, financial tracking and reporting, as well as compliance and audit readiness.",,,
Greater Akron Chamber,,,,,,,,,,,
"Gay Mens Field Guide, LLC",,,,,,,,"AboutGay Men’s Field Guide LLC is a proudly queer-owned, NGLCC-certified brand blending bold design, radical accessibility, and unapologetic storytelling. Our bilingual, screen-reader accessible site serves as a blog, merch store, and gathering space for LGBTQ+ travelers, creatives, and allies. We design and print apparel, mugs, and more—ethically produced in the U.S., with supply partners who share our values. We offer free logo design and art for wholesale clients because we believe in lifting",,,
Ghost Market CLE,,,,,,,,,,,
Giant Eagle Inc,,,,,,,,"AboutTo us, Giant Eagle is more than just a supermarket.After more than 80 years in the grocery business we still see ourselves as the local neighborhood grocery store—where quality food meets incredible",,,
Ghost Market CLE,,,,,,,,,,,
Greater Cleveland Regional Transit Authority,,,,,,,,"AboutThe Greater Cleveland Regional Transit Authority (RTA) provides transportation services for 150,000-200,000 customers on a typical weekday, or about 45 million rides annually, through a variety of services. In 2016, RTA provided 18.1 million vehicle-miles of service on all modes -- HealthLine, bus, Paratransit, light rail, heavy rail, and vanpools.",,,
"Gay Mens Field Guide, LLC",,,,,,,,"AboutGay Men’s Field Guide LLC is a proudly queer-owned, NGLCC-certified brand blending bold design, radical accessibility, and unapologetic storytelling. Our bilingual, screen-reader accessible site serves as a blog, merch store, and gathering space for LGBTQ+ travelers, creatives, and allies. We design and print apparel, mugs, and more—ethically produced in the U.S., with supply partners who share our values. We offer free logo design and art for wholesale clients because we believe in lifting",,,
Goodwill Industries of Greater Cleveland and East Central Ohio,,,,,,,,"AboutGoodwill empowers people on their journey to independence through the sale of goods, which supports employment programs and family services in the greater Cleveland and East Central Ohio region.",,,
GAB INC.,,,,,,,,,,,
"Gay Mens Field Guide, LLC",,,,,,,,"AboutGay Men’s Field Guide LLC is a proudly queer-owned, NGLCC-certified brand blending bold design, radical accessibility, and unapologetic storytelling. Our bilingual, screen-reader accessible site serves as a blog, merch store, and gathering space for LGBTQ+ travelers, creatives, and allies. We design and print apparel, mugs, and more—ethically produced in the U.S., with supply partners who share our values. We offer free logo design and art for wholesale clients because we believe in lifting",,,
Greene River Consulting,,,,,,,,"AboutProviding strategy around funding and finances for nonprofits including grant strategy, financial tracking and reporting, as well as compliance and audit readiness.",,,
GAB INC.,,,,,,,,,,,
Glenmede Trust Company,,,,,,,,"AboutGlenmede Trust Company is a boutique wealth management firm. We wealth planning, advisory, estate planning, and portfolio management services to individuals, families, endowments and foundations.",,,
Greater Akron Chamber,,,,,,,,,,,
